timestamp,fx,fy,fz,tx,ty,tz,frequency
1748227317.5116863,0.15,0.02,-0.07,-0.0,0.0,0.0,100
1748227317.5273757,0.1,-0.03,-0.05,-0.0,0.0,0.0,100
1748227317.5432901,0.04,-0.1,-0.03,-0.01,0.0,0.0,99
1748227317.5435328,0.05,-0.06,0.01,-0.0,0.0,0.0,100
1748227317.5593534,0.1,0.01,0.03,-0.0,0.0,-0.0,99
1748227317.5752559,0.08,-0.03,0.01,-0.0,0.0,0.0,99
1748227317.5755,0.04,-0.11,0.0,-0.0,0.0,0.0,100
1748227317.5913925,0.05,-0.1,-0.02,-0.0,0.0,0.0,99
1748227317.591638,0.05,-0.05,-0.03,-0.0,0.0,0.0,100
1748227317.6074078,0.04,0.03,-0.01,-0.0,0.0,0.0,100
1748227317.6232655,0.06,0.08,0.02,-0.0,0.0,0.0,99
1748227317.6235015,0.06,0.08,0.05,-0.0,0.0,0.0,100
1748227317.6393533,0.08,0.06,0.05,-0.0,0.0,0.0,99
1748227317.6553013,0.11,0.01,0.03,-0.0,0.0,0.0,99
1748227317.6555412,0.1,0.0,0.02,-0.0,0.0,0.0,100
1748227317.6715183,0.1,0.0,0.02,-0.0,0.0,0.0,99
1748227317.671835,0.1,0.0,0.02,-0.0,0.0,0.0,100
1748227317.6875944,0.1,0.0,0.02,-0.0,0.0,0.0,100
1748227317.7034888,0.11,-0.02,0.02,-0.0,0.0,-0.0,99
1748227317.7038035,0.13,-0.04,0.04,-0.0,0.0,-0.0,100
1748227317.7195714,0.13,-0.03,0.02,-0.0,0.0,-0.0,99
1748227317.7355146,0.12,0.01,-0.01,-0.0,0.0,0.0,99
1748227317.7358115,0.12,0.03,-0.02,-0.0,0.0,0.0,100
1748227317.7515616,0.12,0.04,-0.05,-0.0,0.0,0.0,99
1748227317.751857,0.11,0.04,-0.05,-0.0,0.0,0.0,100
1748227317.7676525,0.1,0.03,-0.03,-0.0,0.0,0.0,100
1748227317.7835083,0.08,0.03,-0.02,-0.0,0.01,0.0,99
1748227317.7838018,0.07,0.04,-0.03,-0.0,0.01,0.0,100
1748227317.7995992,0.05,0.05,0.01,-0.0,0.01,0.0,99
1748227317.8155286,0.05,0.1,0.06,0.0,0.0,0.0,99
1748227317.815867,0.09,0.12,0.03,0.0,0.0,0.0,100
1748227317.8315928,0.12,0.08,0.0,-0.0,0.0,0.0,99
1748227317.831899,0.12,0.03,0.01,-0.0,0.0,0.0,100
1748227317.8476794,0.14,0.04,0.04,-0.0,0.0,0.0,100
1748227317.863559,0.16,0.08,0.05,-0.0,0.0,-0.0,99
1748227317.8638556,0.14,0.07,0.02,-0.0,0.0,0.0,100
1748227317.8796325,0.11,0.04,0.01,-0.0,0.0,0.0,100
1748227317.8955383,0.07,0.04,0.01,0.0,0.0,0.0,99
1748227317.8958364,0.03,0.01,0.03,0.0,0.0,0.0,100
1748227317.9116187,0.02,0.01,0.06,-0.0,0.0,0.0,99
1748227317.9119241,0.02,0.0,0.06,-0.0,0.0,0.0,100
1748227317.9276803,0.06,-0.03,0.04,-0.0,0.0,-0.0,100
1748227317.9436014,0.1,0.01,0.04,-0.0,0.0,0.0,99
1748227317.9438949,0.1,0.02,0.0,-0.0,0.0,0.0,100
1748227317.9596322,0.1,0.04,-0.02,-0.0,0.0,0.0,100
1748227317.9755452,0.08,0.05,-0.01,0.0,0.0,0.0,99
1748227317.9758482,0.04,-0.01,-0.01,-0.0,0.0,0.0,100
1748227317.9915617,0.09,-0.05,0.03,-0.0,0.0,-0.0,99
